num_symbols,initial_investment,symbols,start_date_insample,end_date_insample,profit_insample,spy_profits_insample,annualized_sharpe_ratio_insample,alpha_insample,beta_insample,r-squared_insample,treynors_ratio_insample,information_ratio_insample,start_date_outsample,end_date_outsample,profit_outsample,spy_profits_outsample,annualized_sharpe_ratio_outsample,alpha_outsample,beta_outsample,r-squared_outsample,treynors_ratio_outsample,information_ratio_outsample
10,1000000,"{'Industrials': ['EFX', 'SWK', 'NSC', 'ALLE', 'UAL', 'PWR', 'NLSN', 'RSG', 'LMT', 'AME'], 'Health Care': ['BDX', 'ISRG', 'LLY', 'XRAY', 'ZBH', 'HCA', 'PFE', 'ALXN', 'PKI', 'DVA'], 'Information Technology': ['ORCL', 'MCHP', 'HPE', 'XLNX', 'ADBE', 'NVDA', 'FISV', 'LRCX', 'STX', 'ACN'], 'Communication Services': ['DISCA', 'GOOG', 'NWS', 'ATVI', 'GOOGL', 'FB', 'NFLX', 'IPG', 'T', 'CTL'], 'Consumer Discretionary': ['VFC', 'DHI', 'YUM', 'BKNG', 'DLTR', 'MCD', 'EXPE', 'WYNN', 'KMX', 'RCL'], 'Utilities': ['WEC', 'ETR', 'XEL', 'CMS', 'NEE', 'DUK', 'AES', 'EIX', 'PEG', 'AEP'], 'Financials': ['LNC', 'PNC', 'AON', 'WFC', 'CME', 'DFS', 'BRK.B', 'ALL', 'MMC', 'JPM'], 'Materials': ['IP', 'LIN', 'AVY', 'VMC', 'LYB', 'APD', 'MOS', 'SHW', 'MLM', 'IFF'], 'Consumer Staples': ['MNST', 'MDLZ', 'CHD', 'BF.B', 'KMB', 'CAG', 'KHC', 'PEP', 'SJM', 'EL'], 'Real Estate': ['BXP', 'AVB', 'PLD', 'SLG', 'IRM', 'AIV', 'EQIX', 'O', 'VTR', 'CBRE'], 'Energy': ['COG', 'COP', 'SLB', 'WMB', 'PXD', 'HES', 'PSX', 'MPC', 'HAL', 'FTI']}",2017-01-01,2019-01-01,1662606.0053141732,152629.36098455172,3.4249570961994715,0.0016923255691539644,0.648500619667145,0.4172746392328114,0.0027281503659863588,0.2703510887017108,2019-01-01,2020-01-01,334306.2077424501,310874.82947136625,1.258854150287656,0.0007031236726352662,0.3070622536364446,0.038258202874653424,0.0032016005783216373,0.05783410743328755
10,1000000,"{'Industrials': ['ITW', 'EMR', 'CHRW', 'ROP', 'FAST', 'FDX', 'NLSN', 'TXT', 'DE', 'DAL'], 'Health Care': ['PKI', 'EW', 'UHS', 'ZTS', 'CAH', 'ZBH', 'PRGO', 'BSX', 'BIIB', 'XRAY'], 'Information Technology': ['ADP', 'MU', 'IBM', 'ACN', 'ORCL', 'INTU', 'SWKS', 'HPQ', 'QRVO', 'MCHP'], 'Communication Services': ['NWS', 'CTL', 'DISCA', 'NWSA', 'DIS', 'GOOG', 'CMCSA', 'DISCK', 'FB', 'ATVI'], 'Consumer Discretionary': ['BKNG', 'APTV', 'TIF', 'GPS', 'F', 'GPC', 'HBI', 'MHK', 'LB', 'HRB'], 'Utilities': ['AES', 'DUK', 'DTE', 'NEE', 'SO', 'EXC', 'AEP', 'NRG', 'CMS', 'CNP'], 'Financials': ['KEY', 'BRK.B', 'TRV', 'SCHW', 'COF', 'PFG', 'PGR', 'TFC', 'GS', 'RF'], 'Materials': ['LIN', 'SEE', 'VMC', 'MOS', 'PPG', 'IFF', 'APD', 'NEM', 'NUE', 'FMC'], 'Consumer Staples': ['HRL', 'EL', 'COST', 'ADM', 'KO', 'GIS', 'SJM', 'KR', 'TAP', 'PG'], 'Real Estate': ['SLG', 'VTR', 'SPG', 'PLD', 'IRM', 'WELL', 'PSA', 'ESS', 'EQIX', 'AIV'], 'Energy': ['KMI', 'MRO', 'CVX', 'HAL', 'NOV', 'COG', 'DVN', 'XOM', 'EOG', 'HES']}",2017-01-01,2019-01-01,4816930.836743272,152629.36098455172,3.548194569373873,0.002509602883880935,0.7731335224890101,0.2944452997586405,0.003364567742700743,0.2567219691492312,2019-01-01,2020-01-01,1315005.0348483277,310874.82947136625,1.3428227790802871,0.0013702693146169518,0.4772837787863009,0.03118414758783017,0.003782733780695121,0.06522608188472323
10,1000000,"{'Industrials': ['UAL', 'MAS', 'RHI', 'XYL', 'JBHT', 'CAT', 'PWR', 'BA', 'MMM', 'FLS'], 'Health Care': ['LLY', 'ALXN', 'CAH', 'CVS', 'BSX', 'HCA', 'DGX', 'ILMN', 'SYK', 'BAX'], 'Information Technology': ['AKAM', 'ORCL', 'FIS', 'INTU', 'LRCX', 'INTC', 'CTXS', 'AAPL', 'SWKS', 'IBM'], 'Communication Services': ['DIS', 'CMCSA', 'DISCA', 'CTL', 'ATVI', 'GOOG', 'FB', 'NWS', 'GOOGL', 'T'], 'Consumer Discretionary': ['TGT', 'GPC', 'GM', 'KMX', 'GRMN', 'MCD', 'EXPE', 'AMZN', 'AAP', 'MHK'], 'Utilities': ['AEP', 'DUK', 'DTE', 'AEE', 'EXC', 'CNP', 'ETR', 'SO', 'AES', 'NEE'], 'Financials': ['CMA', 'CB', 'UNM', 'C', 'CME', 'KEY', 'AMP', 'PBCT', 'MTB', 'AIG'], 'Materials': ['AVY', 'MOS', 'NEM', 'CF', 'ECL', 'SHW', 'PPG', 'FMC', 'LYB', 'SEE'], 'Consumer Staples': ['MO', 'PEP', 'STZ', 'GIS', 'SJM', 'BF.B', 'WMT', 'MDLZ', 'CPB', 'PM'], 'Real Estate': ['AIV', 'CCI', 'HST', 'EQIX', 'PEAK', 'SPG', 'AVB', 'CBRE', 'O', 'WELL'], 'Energy': ['WMB', 'DVN', 'KMI', 'MRO', 'OXY', 'PSX', 'NBL', 'FTI', 'APA', 'HAL']}",2017-01-01,2019-01-01,2040559.1566647384,152629.36098455172,3.6186183486280687,0.0019637889784222752,0.7526119862755248,0.4658998991801602,0.002727850944138579,0.2983556265189403,2019-01-01,2020-01-01,202107.91324440527,310874.82947136625,0.7404744170164865,0.0003007890544311974,0.32150006415691057,0.039758916876005856,0.0018473398668789715,0.024107590646055967
10,1000000,"{'Industrials': ['UAL', 'JBHT', 'KSU', 'FAST', 'CSX', 'VRSK', 'PH', 'ITW', 'LUV', 'MMM'], 'Health Care': ['ABT', 'UHS', 'ILMN', 'SYK', 'MYL', 'VRTX', 'CI', 'BSX', 'DVA', 'A'], 'Information Technology': ['ORCL', 'LRCX', 'WDC', 'INTC', 'NVDA', 'MSFT', 'STX', 'CTXS', 'CTSH', 'PYPL'], 'Communication Services': ['GOOG', 'EA', 'CTL', 'VZ', 'T', 'FB', 'DIS', 'GOOGL', 'DISCA', 'ATVI'], 'Consumer Discretionary': ['YUM', 'TSCO', 'DLTR', 'ORLY', 'HD', 'BKNG', 'DHI', 'LB', 'NWL', 'TJX'], 'Utilities': ['NEE', 'AES', 'PEG', 'AEE', 'SO', 'EIX', 'EXC', 'NRG', 'XEL', 'CNP'], 'Financials': ['HIG', 'AON', 'AMP', 'CB', 'SYF', 'RF', 'NDAQ', 'GS', 'COF', 'CME'], 'Materials': ['NUE', 'IP', 'MLM', 'ECL', 'AVY', 'VMC', 'APD', 'LYB', 'SHW', 'EMN'], 'Consumer Staples': ['WMT', 'CAG', 'CPB', 'PG', 'HRL', 'WBA', 'CHD', 'MNST', 'KMB', 'PM'], 'Real Estate': ['O', 'AVB', 'VTR', 'WELL', 'CCI', 'AIV', 'PLD', 'PSA', 'CBRE', 'EQIX'], 'Energy': ['COG', 'OXY', 'MPC', 'XOM', 'CVX', 'NBL', 'NOV', 'PXD', 'FTI', 'OKE']}",2017-01-01,2019-01-01,2961028.3080845643,152629.36098455172,4.517464835734778,0.002526032696632439,0.5755224730445512,0.2659099602180478,0.004507665087695567,0.3234036255919861,2019-01-01,2020-01-01,-162081.47469781747,310874.82947136625,-0.25099301331215795,7.736527129712317e-06,-0.5210229283661673,0.019379052327382903,0.0008969110641431734,0.0002643325313435363
5,1000000,"{'Industrials': ['NSC', 'TXT', 'SWK', 'PCAR', 'MMM'], 'Health Care': ['JNJ', 'ZBH', 'BIIB', 'MRK', 'AMGN'], 'Information Technology': ['MCHP', 'FIS', 'SWKS', 'LRCX', 'FLIR'], 'Communication Services': ['DISCK', 'VZ', 'NWSA', 'DIS', 'FB'], 'Consumer Discretionary': ['UAA', 'ORLY', 'GRMN', 'EXPE', 'AZO'], 'Utilities': ['AES', 'NRG', 'ETR', 'AEE', 'AEP'], 'Financials': ['COF', 'MMC', 'BLK', 'AFL', 'AMP'], 'Materials': ['LYB', 'NEM', 'EMN', 'VMC', 'IP'], 'Consumer Staples': ['CAG', 'CPB', 'SJM', 'GIS', 'ADM'], 'Real Estate': ['IRM', 'EQIX', 'ESS', 'PSA', 'SLG'], 'Energy': ['HES', 'DVN', 'MRO', 'COP', 'KMI']}",2017-01-01,2019-01-01,2454633.612211892,152629.36098455172,1.7053982228265072,0.0007574063688590576,0.5303251815268771,0.32185654913431794,0.0015467452601223065,0.12045717098781182,2019-01-01,2020-01-01,1910203.0719050253,310874.82947136625,2.0450134524989925,0.0007067027833630149,0.4663345593431178,0.1756664207987383,0.002427201375129672,0.08858859094073869
5,1000000,"{'Industrials': ['ALLE', 'SNA', 'FAST', 'NSC', 'TXT'], 'Health Care': ['BMY', 'PRGO', 'VAR', 'CAH', 'AMGN'], 'Information Technology': ['NLOK', 'SWKS', 'MA', 'QRVO', 'HPQ'], 'Communication Services': ['DISCK', 'EA', 'NWS', 'NFLX', 'ATVI'], 'Consumer Discretionary': ['EXPE', 'DG', 'ROST', 'AMZN', 'DHI'], 'Utilities': ['CNP', 'NRG', 'EIX', 'EXC', 'AEE'], 'Financials': ['BAC', 'COF', 'ALL', 'ETFC', 'AIZ'], 'Materials': ['NEM', 'SHW', 'FMC', 'AVY', 'LIN'], 'Consumer Staples': ['HSY', 'PG', 'MNST', 'HRL', 'CHD'], 'Real Estate': ['EQIX', 'KIM', 'PSA', 'PEAK', 'HST'], 'Energy': ['HES', 'KMI', 'OXY', 'XOM', 'MRO']}",2017-01-01,2019-01-01,3168534.491402123,152629.36098455172,2.2151056563947265,0.0011098997056785942,0.6625737149361915,0.40377923413756334,0.0017936868290689214,0.16876933564685245,2019-01-01,2020-01-01,1042872.9897297092,310874.82947136625,-0.5409079995073357,-0.0007949589427227565,0.5367709495490703,0.2234397243882691,-0.0005692423821073951,-0.10059908182558518
5,1000000,"{'Industrials': ['CHRW', 'EMR', 'NSC', 'RSG', 'FAST'], 'Health Care': ['DGX', 'CERN', 'SYK', 'ISRG', 'JNJ'], 'Information Technology': ['STX', 'WDC', 'CSCO', 'MSFT', 'NTAP'], 'Communication Services': ['DIS', 'EA', 'NFLX', 'DISCK', 'ATVI'], 'Consumer Discretionary': ['TIF', 'NKE', 'TGT', 'PVH', 'ROST'], 'Utilities': ['AES', 'EXC', 'AEE', 'ETR', 'SO'], 'Financials': ['PGR', 'HIG', 'BRK.B', 'BAC', 'PNC'], 'Materials': ['APD', 'PPG', 'SHW', 'NUE', 'IFF'], 'Consumer Staples': ['KO', 'MO', 'MDLZ', 'GIS', 'PG'], 'Real Estate': ['EQR', 'EQIX', 'PEAK', 'SPG', 'BXP'], 'Energy': ['FTI', 'SLB', 'MPC', 'EOG', 'CVX']}",2017-01-01,2019-01-01,2214173.7061545905,152629.36098455172,2.7519374459510755,0.0021440763017486607,0.9138369696286488,0.3300398074477674,0.002464787928256985,0.20160706293185585,2019-01-01,2020-01-01,-282280.0414553076,310874.82947136625,-0.5346309670926659,-0.0022374297480136727,1.35095037256003,0.1276347477793771,-0.0007444296542310361,-0.08022154254174234
5,1000000,"{'Industrials': ['CTAS', 'EFX', 'URI', 'SNA', 'TXT'], 'Health Care': ['BIIB', 'BAX', 'ALXN', 'BDX', 'VAR'], 'Information Technology': ['FIS', 'CTXS', 'MSFT', 'QRVO', 'ADSK'], 'Communication Services': ['DISCK', 'NWSA', 'IPG', 'GOOG', 'ATVI'], 'Consumer Discretionary': ['RCL', 'NWL', 'WYNN', 'EXPE', 'GRMN'], 'Utilities': ['NRG', 'WEC', 'AEP', 'PEG', 'AES'], 'Financials': ['UNM', 'CMA', 'ICE', 'ZION', 'ALL'], 'Materials': ['MLM', 'AVY', 'MOS', 'IFF', 'CF'], 'Consumer Staples': ['HRL', 'PM', 'WBA', 'COST', 'ADM'], 'Real Estate': ['WELL', 'O', 'EQIX', 'AIV', 'AMT'], 'Energy': ['HES', 'APA', 'PSX', 'OKE', 'OXY']}",2017-01-01,2019-01-01,1172284.1011046122,152629.36098455172,3.0661178251562555,0.001345968041879641,0.4096699742513951,0.2148003867597196,0.0034040464176973077,0.21037962239790373,2019-01-01,2020-01-01,185683.24068746573,310874.82947136625,0.7764388933517739,0.00040634943353807786,0.1990227376578364,0.01710226028317996,0.002953483456911687,0.034104780875553416
5,1000000,"{'Industrials': ['DOV', 'GD', 'CSX', 'MAS', 'ITW'], 'Health Care': ['ABT', 'REGN', 'DGX', 'CAH', 'GILD'], 'Information Technology': ['AMAT', 'NTAP', 'QRVO', 'JNPR', 'MCHP'], 'Communication Services': ['GOOGL', 'IPG', 'GOOG', 'DISCK', 'VZ'], 'Consumer Discretionary': ['ORLY', 'LEN', 'AMZN', 'F', 'DG'], 'Utilities': ['AEP', 'NEE', 'NRG', 'EXC', 'XEL'], 'Financials': ['NDAQ', 'GL', 'AFL', 'BRK.B', 'COF'], 'Materials': ['NUE', 'MOS', 'EMN', 'IFF', 'LYB'], 'Consumer Staples': ['PEP', 'MO', 'SJM', 'CLX', 'COST'], 'Real Estate': ['CBRE', 'AVB', 'EQIX', 'PLD', 'VTR'], 'Energy': ['PSX', 'COG', 'OKE', 'NBL', 'NOV']}",2017-01-01,2019-01-01,2767007.9764429764,152629.36098455172,3.242178986351945,0.0024117814791267296,0.9860556654129428,0.4231915524500949,0.00256444066348798,0.2564866578456478,2019-01-01,2020-01-01,706132.9226985876,310874.82947136625,1.9448817303392183,0.0010682992799586457,1.1046038525092463,0.2651491512616345,0.0018788931913498348,0.07356608010532185
5,1000000,"{'Industrials': ['VRSK', 'ALLE', 'BA', 'NOC', 'FLS'], 'Health Care': ['REGN', 'CAH', 'A', 'MYL', 'LH'], 'Information Technology': ['CSCO', 'SWKS', 'ADP', 'INTC', 'ACN'], 'Communication Services': ['EA', 'VZ', 'FB', 'T', 'ATVI'], 'Consumer Discretionary': ['GRMN', 'LEN', 'WYNN', 'DLTR', 'RL'], 'Utilities': ['DUK', 'CNP', 'SO', 'CMS', 'AEP'], 'Financials': ['CMA', 'AFL', 'C', 'GS', 'BAC'], 'Materials': ['BLL', 'SEE', 'AVY', 'NUE', 'NEM'], 'Consumer Staples': ['PEP', 'PG', 'CPB', 'SYY', 'WBA'], 'Real Estate': ['KIM', 'CCI', 'BXP', 'AVB', 'EQR'], 'Energy': ['NBL', 'COP', 'OKE', 'MPC', 'HAL']}",2017-01-01,2019-01-01,1976170.7089693253,152629.36098455172,3.3057304276175485,0.0018580345259448245,0.5358306667177037,0.22497329371647912,0.003586130709877453,0.2287225214888644,2019-01-01,2020-01-01,26598.901637677685,310874.82947136625,-0.15214570897902716,-9.532491937761088e-05,-0.0698398774446758,0.0011051687698052648,0.002276666529997029,-0.005749142986915079
